rdf ID,rdf Label1,rdf Label2,rdf comment,rdf-class,rdf-class
Fernmelde,Fernmelde,Kfz Fernmelde-Kraftfahrzeug,,Feuerwehrfahrzeug,
Feuerlösch,Feuerlösch,Kfz Feuerwehrfahrzeug der Bundeswehr,,Feuerwehrfahrzeug,
FDW,FDW,Funkdienstwagen (FKW),,Feuerwehrfahrzeug,
Fkdow,Fkdow,Funkkommandowagen (FKW),,Feuerwehrfahrzeug,
FKW,FKW,"Funkkommandowagen (Fkdow, ähnlich FDW)",,Feuerwehrfahrzeug,
FKW1,FKW,Flutlichtfahrzeug,,Feuerwehrfahrzeug,
FLM,FLM,Flutlichtmast(-Fahrzeug) (Lim(a)F),,Feuerwehrfahrzeug,
FLM-F,FLM-F,Flutlichtmast(-Fahrzeug) (Lim(a)F),,Feuerwehrfahrzeug,
FLW,FLW,Flutlichtwagen (Lim(a)F),,Feuerwehrfahrzeug,
FüKW,FüKW,Führungskraftwagen (ELW),,Feuerwehrfahrzeug,
FwK,FwK,Feuerwehrkran (KW),,Feuerwehrfahrzeug,
GEW,GEW,"Großeinsatzw.(z.B ELW 3, GKTW) ",,Feuerwehrfahrzeug,
GMF,GMF,Gefahrstoff-Meßfahrzeug (GMW),,Feuerwehrfahrzeug,
GMW,GMW,Gasmeßwagen (BF Frankfurt) (GMF),,Feuerwehrfahrzeug,
GRTW,GRTW,Großraum-Rettungswagen,,Rettungsdienstfahrzeug,
GSW,GSW,Gasschutzwagen (BF Frankfurt),,Feuerwehrfahrzeug,
KEF,KEF,Kleineinsatzfahrzeug (KLAF),,Feuerwehrfahrzeug,
KELW,KELW,Katastrophen-Einsatzleitwagen,,Feuerwehrfahrzeug,
Kdow,Kdow,"Kommandowagen (ELW,KoWg)",,Feuerwehrfahrzeug,
Kfz,Kfz,Kraftfahrzeug,,Feuerwehrfahrzeug,
KLAF,KLAF,Kleinarlarmfahrzeug (KEF),,Feuerwehrfahrzeug,
KLAF-Öl,KLAF-Öl,Kleinarlarmfahrzeug-Öl (kleiner GW-Öl),,Feuerwehrfahrzeug,
KoWg,KoWg,"Kommandowagen (ELW,Kdow)",,Feuerwehrfahrzeug,
KW,KW,Kranwagen,,Feuerwehrfahrzeug,
LB1,LB,Leiterbühne,,Feuerwehrfahrzeug,
LB-CC,LB..CC,Leiterbühne mit Computercontrolle,,Feuerwehrfahrzeug,
LimA,LimA,Lichtmastanhänger,,Anhängerfahrzeug,
LimF,LimF,"Lichtmastf. (LIMA(FLF, FLW, FLM-F))",,Feuerwehrfahrzeug,
LimaF,LimaF,"Lichtmastf. (LIMA(FLF, FLW, FLM-F))",,Feuerwehrfahrzeug,
LKW,LKW,Lastkraftwagen (z.B. als GW-N),,Feuerwehrfahrzeug,
MeF-G,MeF-G,Meßfahrzeug-Gefahrgut,,Feuerwehrfahrzeug,
MLW,MLW,Meßleitwagen,,Feuerwehrfahrzeug,
MTF,MTF,Mannschaftstransportfahrzeug (MTW),,Feuerwehrfahrzeug,
MTW,MTW,Mannschaftstransportwagen (MTF),,Feuerwehrfahrzeug,
MTW-P,MTW-P,MTW mit mehreren PA's ,,Feuerwehrfahrzeug,
MW,MW,Meßwagen,,Feuerwehrfahrzeug,
MZB,MZB,Mehrzweckboot,,Feuerwehrfahrzeug,
MZF,MZF,Mehrzweckfahrzeug,,Feuerwehrfahrzeug,
ÖSA,ÖSA,Ölschadenanhänger,,Anhängerfahrzeug,
ÖSWF,ÖSWF,Ölspur-Waschsaugfahrzeug ,,Feuerwehrfahrzeug,
P 250,P 250,Pulverlöschanhänger mit 250 kg Pulver,,Feuerwehrfahrzeug,
PKW,PKW,Personenkraftwagen (z.B. für Einsatzleiter),,Feuerwehrfahrzeug,
PLF,PLF,Pulverlöschfahrzeug (TroLF),,Feuerwehrfahrzeug,
PTLF,PTLF,Pulvertanklöschfahrzeug (TroTLF),,Feuerwehrfahrzeug,
RADL,RADL,Radlader,,Feuerwehrfahrzeug,
RB,RB,Rettungsboot (RTB),,Rettungsdienstfahrzeug,Schiff
RBA,RBA,Rettungsboot-Anhänger,,Anhängerfahrzeug,
RIV,RIV,Rapid Intervention Vehicle (englisch(VLF)),,Anhängerfahrzeug,
RKW,RKW,Rüstkranwagen,,RüstGerätewagen,
RW,RW,Rüstwagen,,RüstGerätewagen,
RW-3,RW 3 ST,Rüstwagen 3 Staffelbesatzung,,RüstGerätewagen,
RW-G,RW-G,Rüstwagen-Gefahrgut,,RüstGerätewagen,
RW-Kran,RW-Kran,Rüstwagen mit Kran,,RüstGerätewagen,
RW-ÖL,RW-ÖL,Rüstwagen-Öl,,RüstGerätewagen,
RW-Schiene,RW-Schiene,Rüstwagen für Eisenbahnunfälle,,RüstGerätewagen,
RW-TUIS,RW-TUIS,Rüstwagen der in das TUIS System eingebunden ist,,RüstGerätewagen,
RW-U,RW-U,Rüstwagen-Umweltschutz,,RüstGerätewagen,
RW-W,RW-W,Rüstwagen-Wasserrettung,,RüstGerätewagen,
RZ,RZ,Rüstzug (z.B. ELW + RW + TLF + KW),,RüstGerätewagen,
SchWaWE,SchWaWE,Schaum-Wasser-Werfer (auf Anhänger) (FwA-SWW),,RüstGerätewagen,
SF-G,SF-G,Sonderfahrzeug-Gefahrgut (GW-G),,RüstGerätewagen,
SKW,SKW,Schlauchkraftwagen (SW),,RüstGerätewagen,
SW,SW,Schlauchwagen (SKW),,RüstGerätewagen,
SW-Tr,SW-Tr,Schlauchwagen mit Truppbesatzung,,RüstGerätewagen,
SWA,SWA,Schaum-Wasserwerferanhänger (FwA-SWW),,RüstGerätewagen,
SWW,SWW,Schaum-Wasserwerfer auf Anhänger (FwA-SWW),,RüstGerätewagen,
TF,TF,Transportfahrzeug (LKW),,Feuerwehrfahrzeug,
TLF-H,TLF-H,TLF-Hilfeleistung (HTLF),,Feuerwehrfahrzeug,
TROWA,TROWA,Frankfurter Kürzel für TroTLF 16,,Feuerwehrfahrzeug,
TSF-GW,TSF-GW,TSF mit Zusatzbeladung Technische Hilfeleistung,,Feuerwehrfahrzeug,
TSF-T,TSF-T,TSF mit Truppbesatzung,,Feuerwehrfahrzeug,
TTW,TTW,Tiertransportwagen ,,Feuerwehrfahrzeug,
TW,TW,Taucherwagen,,Feuerwehrfahrzeug,
UAB,UAB,Unimog mit Abrollbehälter ,,Feuerwehrfahrzeug,
VLKW,VLKW,Versorgungslastkraftwagen (GW-N),,Feuerwehrfahrzeug,
VRW,VRW,Vorausrüstwagen,,RüstGerätewagen,
VRW/C,VRW/C,Vorausrüstwagen-Chemie,,RüstGerätewagen,
WAB,WAB,Wechselabrollbehälter (AB),,Feuerwehrfahrzeug,
WAB-G,WAB-G,(-GSG) Wechselabrollbeh. Gefahrgut (AB-G),,Feuerwehrfahrzeug,
WAF,WAF,Wechselabroll(behälter)fahrzeug,,Feuerwehrfahrzeug,
WAF-Boot,WAF-Boot,Wechselabroll(behälter)fahrzeug mit Boot,,Feuerwehrfahrzeug,
WB,WB,Wechselbehälter (AB),,Feuerwehrfahrzeug,
WL,WL,Wechsellader(fahrzeug),,Feuerwehrfahrzeug,
WLF,WLF,Wechsellader(fahrzeug),,Feuerwehrfahrzeug,
WLA,WLA,Wechselladerabrollbehälter,,Feuerwehrfahrzeug,
WTF,WTF,Wassertransportfahrzeug,,Feuerwehrfahrzeug,
WTrKW,WTrKW,Wasserversorgungstruppwagen,,Feuerwehrfahrzeug,
WW,WW,Werkstattwagen (GW-W(erkstatt)),,Feuerwehrfahrzeug,
AL2,AL,Anhängeleiter,,Anhängerfahrzeug,
4TW,4TW,4-Tragenwagen (KTW mit 4 Tragen),,Feuerwehrfahrzeug,
DMF,DMF,Dekontaminierungsmehrzweckfahrzeug,,Feuerwehrfahrzeug,
EF,EF,Entgiftungsfahrzeug,,Feuerwehrfahrzeug,
Fekw,Fekw,Fernsprechkraftwagen (zum Feldkabelbau),,Feuerwehrfahrzeug,
Fukow,Fukow,Funkkommandowagen (gleich Fkdow),,Feuerwehrfahrzeug,
GKW,GKW,Gerätekraftwagen,,Feuerwehrfahrzeug,
HDF,HDF,Heißdekontaminierungsfahrzeug,,Feuerwehrfahrzeug,
MKW,MKW,Mannschaftskraftwagen,,Feuerwehrfahrzeug,
TW1,TW,Tankwasserwagen (gleich WTF),,Feuerwehrfahrzeug,
ZTrKW,ZTrKW,Zugtruppkraftwagen (ähnlich ELW),,Feuerwehrfahrzeug,
FSW,FSW,Funkstreifenwagen,,Rettungsdienstfahrzeug,
FuStW,FuStW,Funkstreifenwagen,,Rettungsdienstfahrzeug,
GruKW,GruKW,Gruppenkraftwagen (MTW),,Feuerwehrfahrzeug,
BM-Rohr,BM-Rohr,B Mehrzweckstrahlrohr,,Gerät,
CM-Rohr,CM-Rohr,C Mehrzweckstrahlrohr,,Gerät,
CSA,CSA,Chemieschutzanzug,,Gerät,
Defi,Defi,Defibrillator,,Gerät,
DM-Rohr,DM-Rohr,Mehrzweckstrahlrohr,,Gerät,
FP,FP,Feuerlöschkreiselpumpe,,Gerät,
FP1,FP,Feuerpatsche,,Gerät,
FLP,FLP,Feuerlöschpumpe,,Gerät,
GET,GET,Geräte-Einheiten-Träger (modulares Beladungssystem),,Gerät,
HAL,HAL,Halonlöscher,,Gerät,
HD-Rohr,HD-Rohr,Hochdruckrohr,,Gerät,
KS,KS,Kombispreizer,,Gerät,
KS1,KS,Kraftspritze,,Gerät,
KS2,KS,Kübelspritze,,Gerät,
LP,LP,Lenzpumpe,,Gerät,
LSG,LSG,Leichtschaumgenerator (tragbar),,Gerät,
LSG-T,LSG-T,Leichtschaumgenerator (tragbar),,Gerät,
PG,PG,Pulverlöscher mit Glutbrandpulver,,Gerät,
PL,PL,Pulverlöscher,,Gerät,
RKL,RKL,Rundumkennleuchte (Blau-/Gelblicht),,Gerät,
RTK,RTK,Rundumleuchten-Ton-Kombination,,Gerät,
S,S,Schneidegerät (Rettungsschere),,Gerät,
SEZ1,SEZ,Schnelleinsatzzelt,,Gerät,
SP,SP,Rettungs-Spreizer,,Gerät,
SPP,SPP,Sprungpolster,,Gerät,
S-Rohr,S-Rohr,Schnellangriffsrohr,,Gerät,
TDK,TDK,Taucher-Dekompressionskammer,,Gerät,
TP,TP,Tauchpumpe,,Gerät,
TS,TS,Tragkraftspritze,,Gerät,
WA,WA,Warnanlage,,Gerät,
WW1,WW,Wasserwerfer,,Gerät,
DAU,DAU,Digital-Alarm-Umsetzer,,Gerät,
FAE,FAE,"Funkalarmempfänger (""Piepser"")",,Gerät,
FME,FME,"Funkmeldeempfänger (""Piepser"")",,Gerät,
FMS,FMS,Funkmeldesystem,,Informationssystem,
FuG,FuG,Funkgerät,,Gerät,
GPS,GPS,Global Positioning System (Satelliten-Navigationssystem),,Informationssystem,
LIS,LIS,Leitstellen-Informations-System,,Informationssystem,
AGT,AGT,Atemschutzgeräteträger,,Einsatzkraft,
AiP,AiP,Arzt im Praktikum,,Einsatzkraft,
AR,AR,Amtsrat,,Einsatzkraft,
ATF,ATF,Angriffstrupp-Führer,,Einsatzkraft,
ATM,ATM,Angriffstrupp-Mann,,Einsatzkraft,
BLNG,BLNG,Beauftragter für die Leitende Notarzt- Gruppe,,Einsatzkraft,
BMI,BMI,Bundesminister des Inneren,,Einsatzkraft,
BOR,BOR,Brandoberrat,,Einsatzkraft,
BvA,BvA,Beamter vom Alarmdienst,,Einsatzkraft,
Erk,Erk,Erkunder (Melder),,Einsatzkraft,
EvD,EvD,Einsatzleiter vom Dienst,,Einsatzkraft,
FaBe,FaBe,Fachberater,,Einsatzkraft,
FeSp,FeSp,Fernsprecher (Telefonist),,Einsatzkraft,
FWA1,FWA,Feuerwehrangehöriger,,Einsatzkraft,
GF,GF,Gruppenführer,,Einsatzkraft,
GrFü,GrFü,Gruppenführer,,Einsatzkraft,
HBI,HBI,Hauptbrandinspektor,,Einsatzkraft,
HBV,HBV,Hauptverwaltungsbeamter,,Einsatzkraft,
JFM,JFM,Jugendfeuerwehrmann,,Einsatzkraft,
JFW,JFW,Jugendfeuerwehrwart,,Einsatzkraft,
KJFW,KJFW,Kreisjugendfeuerwehrwart,,Einsatzkraft,
LdF,LdF,Leiter der Feuerwehr,,Einsatzkraft,
LdF1,LdF,Leiter des Fernmeldebetriebs,,Einsatzkraft,
LFB,LFB,Luftbeobachter,,Einsatzkraft,
LGF,LGF,Löschgruppenführer,,Einsatzkraft,
LJWF,LJWF,Landesjugendfeuerwehrwart,,Einsatzkraft,
LNA,LNA,Leitender Notarzt,,Einsatzkraft,
Ltd,Ltd,Leitender,,Einsatzkraft,
LvE,LvE,Leiter vom Einsatzdienst,,Einsatzkraft,
Ma,Ma,Maschinist,,Einsatzkraft,
Me,Me,Melder,,Einsatzkraft,
NA,NA,Notarzt,,Einsatzkraft,
ÖELtr,ÖELtr,Örtlicher Einsatzleiter,,Einsatzkraft,
OrgEL,OrgEL,Organisatorischer Einsatzleiter Rettungsdienst,,Einsatzkraft,
OVA,OVA,Oberbeamter vom Arlarmdienst,,Einsatzkraft,
RA,RA,Rettungsassistent,,Einsatzkraft,
RH,RH,Rettungshelfer,,Einsatzkraft,
RS,RS,Rettungssanitäter,,Einsatzkraft,
SBI,SBI,Stadtbrandinspektor,,Einsatzkraft,
SBM,SBM,Stadtbrandmeister,,Einsatzkraft,
SBR,SBR,Stadtbrandrat,,Einsatzkraft,
SFI,SFI,Stadtfeuerwehrinspekteur,,Einsatzkraft,
SpFu,SpFu,Sprechfunker,,Einsatzkraft,
STF,STF,Schlauchtrupp-Führer,,Einsatzkraft,
StJFW,StJFW,Stadtjugendfeuerwehrwart,,Einsatzkraft,
STM,STM,Schlauchtrupp-Mann,,Einsatzkraft,
TE,TE,Technischer Einsatzleiter,,Einsatzkraft,
TF1,TF,Truppführer,,Einsatzkraft,
TM,TM,Truppmann,,Einsatzkraft,
UBM,UBM,Unterbrandmeister,,Einsatzkraft,
UFO,UFO,Unfallforscher,,Einsatzkraft,
WF,WF,Wehrführer,,Einsatzkraft,
WTF1,WTF,Wassertrupp-Führer,,Einsatzkraft,
WTM,WTM,Wassertrupp-Mann,,Einsatzkraft,
ZDL,ZDL,Zivildienstleistender,,Einsatzkraft,
ZF,ZF,Zugführer,,Einsatzkraft,
AAB,AAB,Amtliches Auskunftbüro,gibt Auskunft über den Verbleib von Betroffenen,Gruppe,
ABCZ,ABCZ,ABC-Zug,,Gruppe,
Abt,Abt,Abteilung,,Gruppe,
ASZ,ASZ,Atemschutzzug ,,Gruppe,
AT,AT,Angriffstrupp (1/1),,Gruppe,
Ber,Ber,Bereitschaft,,Gruppe,
BtZ,BtZ,Betreuungszug,,Gruppe,
BZ,BZ,Bergungszug,,Gruppe,
EL,EL,Einsatzleitung,,Gruppe,
FeSpTrp,FeSpTrp,Fernsprechtrupp,,Gruppe,
FmZ,FmZ,Fernmeldezug,,Gruppe,
FÜGrp,FÜGrp,Führungsgruppe,,Gruppe,
FuTrp,FuTrp,Funktrupp,,Gruppe,
HöRG,HöRG,Höhenrettungsgruppe,,Gruppe,
IZ,IZ,Instandsetzungszug,,Gruppe,
KW-Zug,KW-Zug,Kurzwellenzug (Funkverbindungen über weite Strecken (Kats)),,Gruppe,
LG,LG,Löschgruppe (1/8),,Gruppe,
LNG,LNG,Leitende Notarzt-Gruppe,,Gruppe,
LZ,LZ,Löschzug ,,Gruppe,
LZ-R,LZ-R,Löschzug-Retten,,Gruppe,
LZ-W,LZ-W,Löschzug-Wasser,,Gruppe,
OrtsF,OrtsF,Ortsfeuerwehr,,Gruppe,
OV,OV,Ortsverband (das THW ist in OV's eingeteilt),,Gruppe,
SZ,SZ,Sanitätszug,,Gruppe,
SanZ,SanZ,Sanitätszug,,Gruppe,
SEEBA,SEEBA,Schnelleinsatzeinheit-Bergung-Ausland (THW),,Gruppe,
SEG,SEG,Schnelleinsatzgruppe,,Gruppe,
SEZ,SEZ,Schnelleinsatzzug,,Gruppe,
ST,ST,Schlauchtrupp (1/1),,Gruppe,
St1,St,Staffel (1/5),,Gruppe,
T,T,Trupp (1/2 oder 1/1),,Gruppe,
TEL,TEL,Technische Einsatleitung,,Gruppe,
WRZ,WRZ,Wasserrettungszug,,Gruppe,
WT,WT,Wassertrupp (1/1),,Gruppe,
Zst,Zst,Zentraler Stab,,Führungsstelle,
AFüSt,AFüSt,Abschnittsführungsstelle,,Führungsstelle,
ELS,ELS,Einsatzleitstelle,,Führungsstelle,
EZ,EZ,Einsatzzentrale,,Führungsstelle,
FEZ,FEZ,Feuerwehreinsatzzentrale,,Führungsstelle,
GAL,GAL,Gefahrenabwehrleitung,,Führungsstelle,
GEL,GEL,Gesamteinsatzleitung,,Führungsstelle,
Fm-Stelle,Fm-Stelle,Fernmeldestelle,,Führungsstelle,
FmZt,FmZt,Fernmeldezentrale,,Führungsstelle,
ILst,ILst,Integrierte Leitstelle,,Führungsstelle,
IZ1,IZ,Informationszentrale,,Führungsstelle,
KSL,KSL,Katastrophenschutzleitung,,Führungsstelle,
KatSL,KatSL,Katastrophenschutzleitung,,Führungsstelle,
KEL,KEL,Katastropheneinsatzleitung,,Führungsstelle,
Lst,Lst,Leitstelle,,Führungsstelle,
NaSt,NaSt,Nachalarmierungsstelle,,Stelle,
ÖEL,ÖEL,Örtliche Einsatzleitung,,Führungsstelle,
OPZ,OPZ,Operationszentrale,,Führungsstelle,
RLst,RLst,Rettungsleitstelle,,Führungsstelle,
BrSHG,BrSHG,Brandschutzhilfeleistungsgesetz,,Vorschrift,
DIN,DIN,Deutsche Industrienorm,,Vorschrift,
EN,EN,Europäische Norm,,Vorschrift,
FeuerwOrgVO,FeuerwOrgVO,"Verordnung über die Organisation, Stärke u. Ausrüstung der öffentl. Feuerwehr",,Vorschrift,
FwDV,FwDV,Feuerwehr-Dienstvorschrift,,Vorschrift,
KategG,KategG,Gesetz über die Erweiterung des Katastrophenschutzes,,Vorschrift,
KatS-DV,KatS-DV,Katastrophenschutz-Dienstvorschrift,,Vorschrift,
RVO,RVO,Reichsversicherungsordnung,,Vorschrift,
StrlSchV,StrlSchV,Strahlenschutzverordnung,,Vorschrift,
UVV,UVV,Unfallverhütungsvorschrift,,Vorschrift,
AAO,AAO,Alarm- und Ausrückordnung,,Vorschrift,
BKS,BKS,Brandschutz- und Katastrophenschutzschule,,Institution,
Dekon,Dekon,Dekontamination,,Objekt,
ESt,ESt,Einsatzstelle,,Vorschrift,
EX,EX,Explosionsgeschützt,,Abkürzung,
FTZ,FTZ,Feuerwehrtechnische Zentrale,,Einrichtung,
GH,GH,Gerätehaus,,Einrichtung,
GSG,GSG,Gefährliche Stoffe und Güter,,Vorschrift,
KBZ,KBZ,Kreisbrandschutz-Zentrale,,Führungsstelle,
KFZ1,KFZ,Kreisfeuerwehrzentrale,,Führungsstelle,
LFS,LFS,Landesfeuerwehrschule,,Institution,
RISC,RISC,Rotterdam International Safety Centre ,,Institution,
RW4,RW,Rettungswache,,Einrichtung,
SB,SB,Sichernder Brandschutz,,Vorschrift,
VB,VB,Vorbeugender Brandschutz,,Vorschrift,
VU,VU,Verkehrsunfall,,Abkürzung,
IMIS,IMIS,Integriertes Meß- und Informationssystem des Bundes,,Vorschrift,
WADIS,WADIS,Warndienst-Informationssystem,,Vorschrift,
WARI,WARI,Warn-Rundfunk-Informationssystem,,Vorschrift,
ABS,ABS,Antiblockiersystem,,Abkürzung,
AM,AM,Autobahnmeisterei,,Institution,
ASR,ASR,Antischlupfreglung,,Abkürzung,
All,All,Allradantrieb,,Abkürzung,
BAB,BAB,Bundesautobahn,,Straße,Ort
BGA,BGA,Bundesgesundheitsamt,,Institution,
DG,DG,Dachgeschoß,,Ort,
EG,EG,Erdgeschoß,,Ort,
EH,EH,Erste Hilfe,,Abkürzung,
HLW,HLW,Herz-Lungen-Wiederbelebung,,Abkürzung,
K,K,Kreisstraße,,Straße,Ort
KG,KG,Kellergeschoß,,Ort,
kN,kN,kilo-Newton (1000 N 100kg),,Maßeinheit,
kVA,kVA,kilo-Volt-Ampere (1 kVA =1000 Watt),,Maßeinheit,
MAK,MAK,Maximale Arbeitsplatz-Konzentration,,Vorschrift,
PST,PST,Polizei(autobahn)station,,Institution,
PAST,PAST,Polizei(autobahn)station,,Institution,
OG,OG,Obergeschoß,,Ort,
StVO,StVO,Straßenverkehrsordnung,,Vorschrift,
UBA,UBA,Umweltbundesamt,,Institution,
WGK,WGK,Wassergefährdungsklasse,,Vorschrift,